Postal Code,VIN,Stock Num,MSRP,Year,Make,Model,Ext. Warranty Miles,Lender,Purchase Date,Sales Type,Purchase Type,Sale Price
62704,1C4RDJAG4DC637636,24276,"$34,275.00 ",2013,DODGE TRUCK,DURANGO,0,CONVERSION - DO NOT USE,9/27/2013 0:00,New Vehicle,Cash,"$34,275.00 "
62340,3C63R3ML3EG304359,25824,"$67,175.00 ",2014,RAM,3500 DIESEL (6.7L),0,US BANK NA,10/24/2014 0:00,New Vehicle,Finance,"$67,175.00 "
62601,KNDJT2A21A7074723,K27146A,"$16,000.00 ",2010,KIA,SOUL,0,CONVERSION - DO NOT USE,1/17/2012 0:00,New Vehicle,Cash,"$16,000.00 "
62558,JF2GPACC6D2873592,44065,"$22,627.00 ",2013,SUBARU,XV CROSSTREK,75005,BMO HARRIS BANK NA,5/10/2013 0:00,New Vehicle,Finance,"$22,627.00 "
62656,KNDJT2A2XA7081931,K25047,"$17,340.00 ",2010,KIA,SOUL,0,HYUNDAI MOTOR FINANCE,8/21/2009 0:00,New Vehicle,Finance,"$17,340.00 "
62959,5XXGW4L23GG020902,K29069,"$31,213.00 ",2016,KIA,OPTIMA,0,KIA MOTORS FINANCE,7/5/2016 0:00,New Vehicle,Finance,"$31,213.00 "
62694,1J4GR48K95C714890,K25815A,"$13,849.00 ",2005,JEEP,GRAND CHEROKEE,96315,CAPITAL ONE AUTO FINANCE,2/7/2011 0:00,Used Vehicle,Finance,"$13,849.00 "
62704,2HGFG12628H544506,45040A,"$8,990.00 ",2008,HONDA,CIVIC CPE,0,CEFCU,1/7/2016 0:00,Used Vehicle,Finance,"$8,990.00 "
62530,5NMSH13E07H005711,27512A,"$10,990.00 ",2007,HYUNDAI,SANTA FE,0,CONVERSION - DO NOT USE,3/19/2016 0:00,Used Vehicle,Cash,"$10,990.00 "
62670,3C4PDCAB4DT509649,24069,"$21,540.00 ",2013,DODGE TRUCK,JOURNEY,100088,JP MORGAN CHASE BANK NA,3/16/2013 0:00,New Vehicle,Finance,"$21,540.00 "
62684,3C6UR5FL2DG608293,24628,"$61,129.00 ",2013,RAM,2500 DIESEL (6.7L),0,CHRYSLER CAPITAL,9/17/2013 0:00,New Vehicle,Finance,"$61,129.00 "
62704,4A4AR4AU1FE045018,36689,"$25,189.74 ",2015,MITSUBISHI,OUTLANDER SPORT,0,HEARTLAND,8/11/2015 0:00,New Vehicle,Finance,"$25,189.74 "
62691,JF1GPAT64FH270719,44824,"$23,460.00 ",2015,SUBARU,IMPREZA WAGON,0,CONVERSION - DO NOT USE,7/13/2015 0:00,New Vehicle,Finance,"$23,460.00 "
62642,1GKEK13Z04J324392,K27333A,"$11,896.00 ",2004,GMC,YUKON,0,CONVERSION - DO NOT USE,3/6/2012 0:00,Used Vehicle,Cash,"$11,896.00 "
61540,1C4RDJEG4FC223477,26965,"$47,595.00 ",2015,DODGE TRUCK,DURANGO,0,CHRYSLER CAPITAL,11/30/2015 0:00,New Vehicle,Finance,"$47,595.00 "
62568,KNDJT2A6XD7763408,K28052,"$19,515.00 ",2013,KIA,SOUL,0,CONVERSION - DO NOT USE,6/3/2013 0:00,New Vehicle,Cash,"$19,515.00 "
62704,JF2SJAHC3EH464713,44137,"$29,533.00 ",2014,SUBARU,FORESTER,60005,BANK OF AMERICA,8/31/2013 0:00,New Vehicle,Finance,"$27,500.00 "
62548,JF2GPAMC2FH212026,44670,"$25,645.00 ",2015,SUBARU,XV CROSSTREK,0,JP MORGAN CHASE BANK NA,1/19/2015 0:00,New Vehicle,Finance,"$25,645.00 "
62234,KNAGM4AD7F5086007,K28958,"$20,340.00 ",2015,KIA,OPTIMA HYBRID,0,PNC BANK NA,11/23/2015 0:00,New Vehicle,Finance,"$20,340.00 "
62702,2A8HR54P18R121207,99397,"$19,492.00 ",2008,CHRYSLER,TOWN & COUNTRY,0,HEARTLAND CREDIT UNION,9/17/2009 0:00,Used Vehicle,Finance,"$19,492.00 "
62712,JF2SHBEC2CH449042,44666A,"$20,495.00 ",2012,SUBARU,FORESTER,0,CONVERSION - DO NOT USE,1/21/2015 0:00,New Vehicle,Cash,"$20,495.00 "
62702,1C6RR6FTXES366584,25641,"$30,704.00 ",2014,DODGE TRUCK,RAM 1500,0,CHRYSLER CAPITAL,11/12/2014 0:00,New Vehicle,Finance,"$30,704.00 "
62791,1C6RR7LM2ES398979,25734,"$46,324.00 ",2014,DODGE TRUCK,RAM 1500,100000,CHRYSLER CAPITAL,8/30/2014 0:00,New Vehicle,Finance,"$46,324.00 "
62570,1C3CDFBA9DD324769,24646,"$21,490.00 ",2013,DODGE,DART,0,HEARTLAND CREDIT UNION,11/16/2013 0:00,New Vehicle,Finance,"$21,490.00 "
62561,1GCCS13E378186889,44555B,"$9,994.00 ",2007,CHEVROLET TRUCK,COLORADO,0,HEARTLAND CREDIT UNION,12/8/2014 0:00,Used Vehicle,Finance,"$9,994.00 "
62704,2G1FB3DD5B9209528,25813AA,"$20,764.00 ",2011,CHEVROLET,CAMARO,57486,HEARTLAND CREDIT UNION,11/22/2014 0:00,Used Vehicle,Finance,"$20,764.00 "
46952,4S4BRBCC0E3308996,44419,"$26,900.00 ",2014,SUBARU,OUTBACK WAGON,0,JP MORGAN CHASE BANK NA,6/2/2014 0:00,New Vehicle,Finance,"$26,900.00 "
62702,KNAFE121665305437,K25978A,"$9,800.00 ",2006,KIA,SPECTRA,100000,CONVERSION - DO NOT USE,7/1/2011 0:00,Used Vehicle,Cash,"$9,800.00 "
62677,3C4PDCBB1ET154973,25166,"$28,008.00 ",2014,DODGE TRUCK,JOURNEY,0,PNC BANK NA,1/13/2014 0:00,New Vehicle,Finance,"$28,008.00 "
62513,4A3AK24F16E002440,K28120A,"$12,000.00 ",2006,MITSUBISHI,ECLIPSE,0,CONVERSION - DO NOT USE,8/24/2013 0:00,Used Vehicle,Finance,"$12,000.00 "
62703,2C4RDGCG6DR710836,24513,"$28,180.00 ",2013,DODGE TRUCK,GRAND CARAVAN,0,CHRYSLER CAPITAL,6/13/2013 0:00,New Vehicle,Finance,"$28,180.00 "
62712,3D4GG57V59T159723,25544A,"$12,852.00 ",2009,DODGE TRUCK,JOURNEY,0,CAPITAL ONE AUTO FINANCE,6/2/2014 0:00,Used Vehicle,Finance,"$12,852.00 "
61525,4S4BRBCC6E3323759,44450,"$27,969.00 ",2014,SUBARU,OUTBACK WAGON,0,JP MORGAN CHASE BANK NA,8/9/2014 0:00,New Vehicle,Finance,"$27,969.00 "
62665,KNAFW6A38A5158334,K25182,"$20,178.00 ",2010,KIA,FORTE,0,CONVERSION - DO NOT USE,7/31/2010 0:00,New Vehicle,Finance,"$20,178.00 "
62704,3D4PG9FG2BT505789,22200,"$34,335.00 ",2011,DODGE TRUCK,JOURNEY,0,CONVERSION - DO NOT USE,5/10/2011 0:00,New Vehicle,Lease,"$31,800.00 "
62702,3D4PG5FV0AT109253,21038,"$27,670.00 ",2010,DODGE TRUCK,JOURNEY,100000,HEARTLAND CREDIT UNION,11/19/2009 0:00,New Vehicle,Finance,"$27,670.00 "
62640,1C6RR7FT4DS624859,26943A,"$27,995.00 ",2013,RAM,1500,0,1st MID AMERICA,1/12/2016 0:00,Used Vehicle,Finance,"$27,995.00 "
62677,JF2SHAEC9DH401985,43960A,"$25,990.00 ",2013,SUBARU,FORESTER,100000,1st MID AMERICA,1/12/2013 0:00,Used Vehicle,Finance,"$25,990.00 "
62670,1D3HV13T39S781637,20352,"$36,441.00 ",2009,DODGE TRUCK,RAM 1500,100000,JP MORGAN CHASE BANK NA,3/19/2009 0:00,New Vehicle,Finance,"$36,441.00 "
62521,4S4BRCMC2E3308003,44477,"$32,780.00 ",2014,SUBARU,OUTBACK WAGON,75000,CONVERSION - DO NOT USE,6/12/2014 0:00,New Vehicle,Cash,"$32,780.00 "
